hour,day_of_week,traffic_score,parking_density,grid_capacity,existing_station_count,ev_registrations,demand_score
6,6,59.02639388856225,0.1375237748170154,397.84402458751407,7,2667,25.68868829778679
19,0,43.32467489716556,0.3408156997898466,478.1489129265565,8,1774,10.109950739429427
14,1,98.4351407402904,0.16482467534676204,399.42018619295817,2,2783,93.34799926649612
10,5,14.958064266756576,0.17058191155709002,325.1014709974911,5,3480,47.70461704961633
7,5,46.459859663581014,0.9481083201714422,435.7890060623784,9,839,25.784907798156404
20,4,68.04566263593253,0.44524611228478816,352.9608977095392,4,1645,46.95091417998733
6,5,39.55450838799687,0.7888022639053596,233.65357557166539,5,4664,73.37887287952772
18,2,97.46998518706899,0.6396055611776819,448.52889390879795,3,2359,95.57498056194122
22,6,72.18876279269351,0.6764263623383923,149.8552073529678,9,1235,29.34583333544911
10,3,65.69838575644931,0.13169343847203852,371.5885737089259,5,973,43.91283203569056
10,4,75.70592676112233,0.23418444681548567,446.70355472334063,6,4655,82.2688182441468
23,2,95.2648638038717,0.7867503351544369,379.0924338664833,8,2400,61.33057424678425
20,2,90.78186529846401,0.970766206474783,363.7739385742356,9,851,52.26698741713672
3,0,72.42853081264118,0.2626756425986517,388.68723233232623,6,953,22.978288007068205
7,5,74.9161639101283,0.27156876475103986,259.27486173528996,5,3832,51.015438673476865
23,1,14.592207403514546,0.47289713281090484,443.3768069706617,0,2383,52.58605150600951
2,1,10.279240449266569,0.9838403128554378,141.54641381124105,1,1429,62.2279138425712
21,4,57.09045018441643,0.26895894582647106,107.32388720015268,0,577,45.86257904971994
20,6,1.836763694054,0.4069719096342639,178.4789510533302,8,2826,6.510948456324314
1,1,48.23563815515916,0.8914800156235068,289.20982854874694,9,3191,46.21493316493515
23,3,21.03495799188686,0.0029210326213620075,279.7528079342021,9,4330,6.632300043888817
11,1,34.601656764483955,0.03976596498856955,419.26944095446396,8,4605,38.6518384352493
5,4,77.5804735792956,0.6040716770712192,232.05589538180783,6,1369,43.30822718736103
1,1,94.12375042323865,0.907380164712847,267.95499183117886,1,4281,99.59560213554437
20,3,7.24162721463415,0.23885666040192766,56.01545746672804,5,2703,14.95426308732777
0,0,53.42422059764451,0.469641774680709,234.3826563993226,3,1569,50.35769068735734
11,6,88.25334858196,0.4504653016578183,341.4984048276539,0,477,89.66608004569703
21,4,8.250853444042129,0.47297134609551017,56.97874878196648,0,1780,49.06346239718343
11,0,82.45140468968339,0.6225196957297452,176.39688433380968,4,341,58.66056083658629
16,0,35.78013509282714,0.46974376299068377,143.58036168022545,1,1019,59.77937387515587
9,0,32.209470221933536,0.4474681413224578,68.8934430093147,3,169,41.05393455973533
15,2,97.74663863147858,0.4742884204312605,265.6670404615419,0,4024,90.76863370324962
14,6,20.085908986229416,0.5908674412710415,131.77548195267042,3,2186,60.05827707229743
14,5,69.31939408226809,0.5370074883513584,384.38669283412105,5,2107,69.6909822043124
18,6,82.14407280098665,0.8541359976505043,431.5675476935068,9,900,57.31955859727457
11,2,4.118349527927167,0.049496853493666615,295.5133322011165,3,2879,37.95543337239879
22,5,67.03854583544123,0.8333170714730125,491.7683041345137,0,855,70.12713010144233
19,6,95.15499743553269,0.843924612611724,252.7153571617679,6,2095,68.90681785121511
2,0,12.421996672805935,0.28490802153096084,281.015694601212,1,1421,29.183748499303316
4,4,89.62213026850382,0.46285195501585064,495.1479892809876,8,2430,43.34245721531842
18,5,59.47766373769361,0.4385384885374355,154.19679618427196,2,209,60.042457810188644
6,3,61.6604581862474,0.2185098343541303,474.14567285460737,7,1116,13.692546802193135
20,3,61.29441748656059,0.39679684708631646,69.27689980360097,7,3965,46.97207450516924
8,1,29.883588633731385,0.044387772170854434,250.87410061843764,2,124,26.013418477410887
6,5,93.52018152994597,0.27782207278173443,81.50158045987959,3,2938,61.67921077758993
17,4,94.73504626310387,0.8166821754507181,378.15563431113935,1,837,98.64885840486356
3,2,62.53046602139478,0.28456230176289754,323.784021146008,3,279,21.75221413695426
13,0,78.34227259416147,0.8182066687482475,367.9854185604184,8,331,60.884364636458265
17,1,61.2257985881158,0.5315994646044309,218.51617998560764,1,2017,84.8728211628142
8,3,48.43984475740406,0.87986267736116,216.26687031412112,2,442,83.10878900215994
20,2,66.08201182992507,0.5747795542644152,70.39367553240257,3,4672,88.449262788633
1,2,55.300145259195844,0.029668223064739818,207.4752227883379,4,2723,26.405157948634173
19,0,59.74758626319301,0.6754202075470892,468.17978101792676,0,554,64.46557787763926
14,5,78.3832553418862,0.04485356802356866,220.65194173120204,6,4484,72.48457186337214
6,3,48.09038314489848,0.450597018983134,424.1154677998865,9,4725,43.62810024910353
11,4,4.075410609247276,0.929426694473114,429.04647713747033,6,2376,62.231645729060816
7,2,16.399948098949725,0.16520393933785016,217.95852037065524,8,695,0.0
14,0,43.860721648953835,0.3898723529415441,334.39490617828505,3,3974,81.89842243904548
