hour,day_of_week,nearby_demand_score,total_ports,fast_charger_ports,historical_sessions,queue_minutes
6,6,59.02639388856225,16,9,80,0.0
19,0,43.32467489716556,10,5,189,26.535298551151435
14,1,98.4351407402904,9,9,133,22.309499469355405
10,5,14.958064266756576,7,7,390,11.737337017633688
7,5,46.459859663581014,5,3,302,35.57530327281902
20,4,68.04566263593253,8,1,294,64.79442138154408
6,5,39.55450838799687,5,4,204,19.29895247788885
18,2,97.46998518706899,13,1,408,80.05508036734106
22,6,72.18876279269351,14,1,237,27.306970391977508
10,3,65.69838575644931,4,5,440,60.409111571094385
10,4,75.70592676112233,13,9,439,30.356892010224588
23,2,95.2648638038717,3,8,445,63.10269161996523
20,2,90.78186529846401,3,3,284,67.44062720567184
3,0,72.42853081264118,10,5,470,49.64904467782914
7,5,74.9161639101283,2,6,115,22.798307367591896
23,1,14.592207403514546,9,5,30,0.0
2,1,10.279240449266569,7,7,73,0.0
21,4,57.09045018441643,7,3,174,17.614050432712094
20,6,1.836763694054,19,0,36,10.623857015084807
1,1,48.23563815515916,18,6,320,8.774514387521599
23,3,21.03495799188686,13,2,294,17.51931650666474
11,1,34.601656764483955,7,5,157,0.0
5,4,77.5804735792956,9,1,290,47.14650553920225
1,1,94.12375042323865,11,8,335,28.094337085598845
20,3,7.24162721463415,2,0,328,43.94233922133176
0,0,53.42422059764451,14,5,173,0.0
11,6,88.25334858196,18,5,395,38.824594323187796
21,4,8.250853444042129,4,4,415,23.64427833151226
11,0,82.45140468968339,9,4,233,39.867599013311775
16,0,35.78013509282714,15,0,281,19.01067199435616
9,0,32.209470221933536,4,9,155,11.518193760523944
15,2,97.74663863147858,17,4,462,41.67609820004068
14,6,20.085908986229416,14,1,447,30.039120692048705
14,5,69.31939408226809,18,6,365,22.89190139313769
18,6,82.14407280098665,14,2,39,21.10514221035815
11,2,4.118349527927167,7,3,54,5.0356666823657985
22,5,67.03854583544123,18,2,284,21.59999773285176
19,6,95.15499743553269,15,2,480,73.4401174179993
2,0,12.421996672805935,18,3,43,0.0
4,4,89.62213026850382,9,4,150,26.215517877005983
18,5,59.47766373769361,12,0,436,74.58789234777645
6,3,61.6604581862474,2,3,327,50.533643187911125
20,3,61.29441748656059,8,7,383,50.857858750937595
8,1,29.883588633731385,18,9,230,0.0
6,5,93.52018152994597,11,6,365,39.36082603386479
17,4,94.73504626310387,12,8,31,22.877447177801645
3,2,62.53046602139478,10,4,189,11.41735195293973
13,0,78.34227259416147,10,9,445,34.59506745755438
17,1,61.2257985881158,6,3,376,62.383036349419065
8,3,48.43984475740406,18,7,429,10.67678538790229
20,2,66.08201182992507,10,8,338,36.94553948988175
1,2,55.300145259195844,18,6,240,1.9790989054796153
19,0,59.74758626319301,8,6,412,55.53807191068556
14,5,78.3832553418862,10,4,47,15.564815398239752
6,3,48.09038314489848,8,3,79,2.016172529110106
11,4,4.075410609247276,14,9,125,0.0
7,2,16.399948098949725,12,0,248,14.973788358859554
14,0,43.860721648953835,15,9,344,4.473235937869362
2,4,72.48265598740583,12,9,450,23.377030736297606
13,5,59.32786483101788,14,6,157,1.7573995017610082
16,3,65.02941858734539,15,0,18,0.0
3,5,47.92789285762873,14,0,297,25.898620939116217
17,2,61.574202194224284,2,4,397,78.97593618084203
7,4,32.90174378146622,9,8,59,0.0
3,4,47.01825926966651,13,5,347,13.037514407375351
1,4,74.42790655949555,13,2,14,10.434102187612073
5,2,87.18327789731212,9,2,413,53.177631372607834
21,2,43.36553339563889,9,6,352,17.718991548394253
9,5,4.366165770736119,14,5,135,2.9822056879087633
3,1,16.167254414680265,13,8,84,0.0
21,5,2.08611392915381,17,5,174,0.0
17,3,65.32630192373301,2,4,287,64.08407951344168
